County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,OPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,OPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,OPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,OPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Kape Pearl Medical Centre,OPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),IPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),IPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),IPD,2024,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),IPD,2025,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),IPD,2026,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),MCH_CWC,2024,99
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),MCH_CWC,2025,79
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),MCH_CWC,2026,3
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),OPD,2022,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),OPD,2023,0
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),OPD,2024,4531
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),OPD,2025,6407
West Pokot,Private Practice,Private Practice - General Practitioner,Equity Afia Medical Center(Kapenguria),OPD,2026,3490
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,IPD,2025,2
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,MCH_CWC,2026,32
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,OPD,2022,1501
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,OPD,2023,194
West Pokot,Private Practice,Private Practice - Clinical Officer,Toror  Medical Clinic,OPD,2024,0
